dtm,f
2017-09-22 02:10:00,49.965
2017-09-22 02:11:00,49.995
2017-09-22 02:12:00,49.99
2017-09-22 02:13:00,50.021
2017-09-22 02:14:00,50.023
2017-09-22 02:15:00,50.027
2017-09-22 02:16:00,50.044
2017-09-22 02:17:00,50.045
2017-09-22 02:18:00,50.062
2017-09-22 02:19:00,50.044
2017-09-22 02:20:00,50.038
2017-09-22 02:21:00,50.056
2017-09-22 02:22:00,50.084
2017-09-22 02:23:00,50.089
2017-09-22 02:24:00,50.078
2017-09-22 02:25:00,50.066
2017-09-22 02:26:00,50.08
2017-09-22 02:27:00,50.078
2017-09-22 02:28:00,50.077
2017-09-22 02:29:00,50.056
2017-09-22 02:30:00,50.072
2017-09-22 02:31:00,50.052
2017-09-22 02:32:00,50.054
2017-09-22 02:33:00,50.06100000000001
2017-09-22 02:34:00,50.017
2017-09-22 02:35:00,50.045
2017-09-22 02:36:00,50.022
2017-09-22 02:37:00,50.03
2017-09-22 02:38:00,50.02
2017-09-22 02:39:00,50.018
2017-09-22 02:40:00,50.036
2017-09-22 02:41:00,50.04
2017-09-22 02:42:00,50.059
2017-09-22 02:43:00,50.057
2017-09-22 02:44:00,50.055
2017-09-22 02:45:00,50.103
2017-09-22 02:46:00,50.11600000000001
2017-09-22 02:47:00,50.115
2017-09-22 02:48:00,50.09
2017-09-22 02:49:00,50.08600000000001
2017-09-22 02:50:00,50.063
2017-09-22 02:51:00,50.1
2017-09-22 02:52:00,50.097
2017-09-22 02:53:00,49.975
2017-09-22 02:54:00,49.949
2017-09-22 02:55:00,49.984
2017-09-22 02:56:00,50.034
2017-09-22 02:57:00,50.063
2017-09-22 02:58:00,50.081
2017-09-22 02:59:00,50.073
2017-09-22 03:00:00,50.095
2017-09-22 03:01:00,50.085
2017-09-22 03:02:00,50.055
2017-09-22 03:03:00,50.054
2017-09-22 03:04:00,50.06
2017-09-22 03:05:00,50.063
2017-09-22 03:06:00,50.051
2017-09-22 03:07:00,50.042
2017-09-22 03:08:00,50.04
2017-09-22 03:09:00,50.043
2017-09-22 03:10:00,50.029
2017-09-22 03:11:00,50.051
2017-09-22 03:12:00,50.077
2017-09-22 03:13:00,50.087
2017-09-22 03:14:00,50.102
2017-09-22 03:15:00,50.083
2017-09-22 03:16:00,50.109
2017-09-22 03:17:00,50.11
2017-09-22 03:18:00,50.114
2017-09-22 03:19:00,50.11600000000001
2017-09-22 03:20:00,50.106
2017-09-22 03:21:00,50.081
2017-09-22 03:22:00,50.083
2017-09-22 03:23:00,50.041
2017-09-22 03:24:00,50.044
2017-09-22 03:25:00,50.044
2017-09-22 03:26:00,50.03
2017-09-22 03:27:00,50.006
2017-09-22 03:28:00,50.037
2017-09-22 03:29:00,50.111
2017-09-22 03:30:00,50.133
2017-09-22 03:31:00,50.108
2017-09-22 03:32:00,50.118
2017-09-22 03:33:00,50.127
2017-09-22 03:34:00,50.129
2017-09-22 03:35:00,50.058
2017-09-22 03:36:00,50.029
2017-09-22 03:37:00,50.024
2017-09-22 03:38:00,50.03100000000001
2017-09-22 03:39:00,50.047
2017-09-22 03:40:00,50.047
2017-09-22 03:41:00,50.053
2017-09-22 03:42:00,50.04600000000001
2017-09-22 03:43:00,50.065
2017-09-22 03:44:00,50.028
2017-09-22 03:45:00,50.039
2017-09-22 03:46:00,50.011
2017-09-22 03:47:00,50.023
2017-09-22 03:48:00,50.003
2017-09-22 03:49:00,50.019
2017-09-22 03:50:00,50.042
2017-09-22 03:51:00,50.03
2017-09-22 03:52:00,50.044
2017-09-22 03:53:00,50.04600000000001
2017-09-22 03:54:00,50.04
2017-09-22 03:55:00,50.025
2017-09-22 03:56:00,50.058
2017-09-22 03:57:00,50.057
2017-09-22 03:58:00,50.032
2017-09-22 03:59:00,50.019
2017-09-22 04:00:00,50.022
2017-09-22 04:01:00,49.997
2017-09-22 04:02:00,49.975
2017-09-22 04:03:00,49.988
2017-09-22 04:04:00,49.978
2017-09-22 04:05:00,49.989
2017-09-22 04:06:00,49.99
2017-09-22 04:07:00,49.986
2017-09-22 04:08:00,49.98
2017-09-22 04:09:00,49.969
2017-09-22 04:10:00,49.981
2017-09-22 04:11:00,49.958
2017-09-22 04:12:00,49.947
2017-09-22 04:13:00,49.951
2017-09-22 04:14:00,49.982
2017-09-22 04:15:00,49.951
2017-09-22 04:16:00,49.964
2017-09-22 04:17:00,49.956
2017-09-22 04:18:00,49.91
2017-09-22 04:19:00,49.909
2017-09-22 04:20:00,49.89100000000001
2017-09-22 04:21:00,49.854
2017-09-22 04:22:00,49.947
2017-09-22 04:23:00,49.96
2017-09-22 04:24:00,49.97
2017-09-22 04:25:00,49.948
2017-09-22 04:26:00,50.00100000000001
2017-09-22 04:27:00,49.976000000000006
2017-09-22 04:28:00,49.957
2017-09-22 04:29:00,49.986
2017-09-22 04:30:00,50.017
2017-09-22 04:31:00,50.03
2017-09-22 04:32:00,50.011
2017-09-22 04:33:00,50.033
2017-09-22 04:34:00,50.057
2017-09-22 04:35:00,49.96100000000001
2017-09-22 04:36:00,49.964
2017-09-22 04:37:00,49.952
2017-09-22 04:38:00,49.94
2017-09-22 04:39:00,49.96100000000001
2017-09-22 04:40:00,50.007
2017-09-22 04:41:00,50.02
2017-09-22 04:42:00,50.003
2017-09-22 04:43:00,50.03
2017-09-22 04:44:00,50.005
2017-09-22 04:45:00,50.026
2017-09-22 04:46:00,50.041
2017-09-22 04:47:00,50.069
